x-axis,1,2
second,Volt,Volt
-9.2600E-03,,
-9.2500E-03,-46.7940E-03,-467.1106E-03
-9.2400E-03,-84.4824E-03,-484.6985E-03
-9.2300E-03,-46.7940E-03,-467.1106E-03
-9.2200E-03,-46.7940E-03,-467.1106E-03
-9.2100E-03,-71.9196E-03,-467.1106E-03
-9.2000E-03,-84.4824E-03,-468.3668E-03
-9.1900E-03,-64.3819E-03,-467.1106E-03
-9.1800E-03,-86.9950E-03,-484.6985E-03
-9.1700E-03,-64.3819E-03,-467.1106E-03
-9.1600E-03,-51.8191E-03,-487.2111E-03
-9.1500E-03,-86.9950E-03,-458.3166E-03
-9.1400E-03,-46.7940E-03,-467.1106E-03
-9.1300E-03,-71.9196E-03,-467.1106E-03
-9.1200E-03,-51.8191E-03,-467.1106E-03
-9.1100E-03,-64.3819E-03,-467.1106E-03
-9.1000E-03,-46.7940E-03,-467.1106E-03
-9.0900E-03,-86.9950E-03,-478.4171E-03
-9.0800E-03,-84.4824E-03,-467.1106E-03
-9.0700E-03,-71.9196E-03,-467.1106E-03
-9.0600E-03,-46.7940E-03,-448.2663E-03
-9.0500E-03,-46.7940E-03,-474.6482E-03
-9.0400E-03,-86.9950E-03,-468.3668E-03
-9.0300E-03,-46.7940E-03,-447.0100E-03
-9.0200E-03,-11.6181E-03,-448.2663E-03
-9.0100E-03,-54.3316E-03,-478.4171E-03
-9.0000E-03,-46.7940E-03,-467.1106E-03
-8.9900E-03,-6.5930E-03,-463.3417E-03
-8.9800E-03,-41.7688E-03,-468.3668E-03
-8.9700E-03,-24.1809E-03,-447.0100E-03
-8.9600E-03,-11.6181E-03,-464.5980E-03
-8.9500E-03,-31.7186E-03,-454.5477E-03
-8.9400E-03,-11.6181E-03,-467.1106E-03
-8.9300E-03,-31.7186E-03,-467.1106E-03
-8.9200E-03,-46.7940E-03,-448.2663E-03
-8.9100E-03,-31.7186E-03,-454.5477E-03
-8.9000E-03,-6.5930E-03,-464.5980E-03
-8.8900E-03,-71.9196E-03,-467.1106E-03
-8.8800E-03,-46.7940E-03,-467.1106E-03
-8.8700E-03,-46.7940E-03,-454.5477E-03
-8.8600E-03,-46.7940E-03,-447.0100E-03
-8.8500E-03,-46.7940E-03,-454.5477E-03
-8.8400E-03,-46.7940E-03,-467.1106E-03
-8.8300E-03,-46.7940E-03,-467.1106E-03
-8.8200E-03,-46.7940E-03,-447.0100E-03
-8.8100E-03,-71.9196E-03,-458.3166E-03
-8.8000E-03,-46.7940E-03,-447.0100E-03
